Name,State,Married ages 32-34 (pct),Married ages 23-25 (pct),HBCU?,Religious private?,Nonsectarian private?
Covenant College,GA,0.7459019,0.3586086,No,Yes,No
"Emmanuel College of Franklin Springs, GA",GA,0.6394506,0.2871788,No,Yes,No
Emory University,GA,0.5822544,0.0337861,No,Yes,No
Fort Valley State University,GA,0.2140021,0.0462512,Yes,No,No
Georgia College & State University,GA,0.6473374,0.1646562,No,No,No
Georgia Institute Of Technology,GA,0.6350585,0.0940553,No,No,No
Georgia Southern University,GA,0.5440175,0.1321751,No,No,No
Georgia Southwestern State University,GA,0.5865489,0.1684727,No,No,No
Georgia State University,GA,0.4701314,0.0893738,No,No,No
Kennesaw State University,GA,0.615786,0.1681726,No,No,No
Lagrange College,GA,0.6537429,0.1863562,No,Yes,No
Mercer University,GA,0.5976478,0.1262035,No,Yes,No
Piedmont College,GA,0.6373059,0.254714,No,Yes,No
Shorter University,GA,0.6643376,0.2513745,No,Yes,No
Spelman College,GA,0.3247566,0.0403674,Yes,No,Yes
University Of Georgia,GA,0.660478,0.1126524,No,No,No
University Of West Georgia,GA,0.5654106,0.1819804,No,No,No
Valdosta State University,GA,0.5981607,0.1409448,No,No,No
Chaminade University Of Honolulu,HI,0.5079612,0.1464038,No,Yes,No
Hawaii Pacific University,HI,0.5111068,0.1624855,No,No,Yes
Buena Vista University,IA,0.7111104,0.2182267,No,Yes,No
Central College,IA,0.7537663,0.2293407,No,Yes,No
Dordt College,IA,0.8167683,0.4380754,No,Yes,No
Drake University,IA,0.6674481,0.117261,No,No,Yes
Grand View University,IA,0.6536839,0.2224335,No,Yes,No
Grinnell College,IA,0.5237597,0.0400172,No,No,Yes
Iowa State University Of Science & Technology,IA,0.7029698,0.1702393,No,No,No
Loras College,IA,0.6944714,0.1326565,No,Yes,No
Luther College,IA,0.6973073,0.1480468,No,Yes,No
Morningside College,IA,0.6540146,0.2184735,No,Yes,No
"Northwestern College of Orange City, IA",IA,0.7786727,0.3937154,No,Yes,No
Simpson College,IA,0.7513597,0.1751569,No,Yes,No
University Of Iowa,IA,0.6516165,0.0862724,No,No,No
University Of Northern Iowa,IA,0.7343145,0.1988617,No,No,No
Upper Iowa University,IA,0.5504487,0.192426,No,No,Yes
William Penn University,IA,0.5453846,0.1737996,No,Yes,No
Boise State University,ID,0.6238592,0.2136384,No,No,No
Brigham Young University-Idaho,ID,0.8473998,0.5668848,No,Yes,No
University Of Idaho,ID,0.643137,0.1779683,No,No,No
"Augustana College of Rock Island, IL",IL,0.709665,0.0818714,No,Yes,No
Aurora University,IL,0.5563664,0.1430004,No,No,Yes
Bradley University,IL,0.6690806,0.104837,No,No,Yes
Chicago State University,IL,0.1735144,0.0445672,No,No,No
Depaul University,IL,0.5200655,0.0538379,No,Yes,No
Dominican University,IL,0.5575417,0.0797967,No,Yes,No
Eastern Illinois University,IL,0.6528626,0.1114338,No,No,No
Illinois College,IL,0.6923383,0.1370414,No,Yes,No
Illinois Institute Of Technology,IL,0.6005901,0.0874553,No,No,Yes
Illinois State University,IL,0.675413,0.094538,No,No,No
Illinois Wesleyan University,IL,0.6854747,0.0703876,No,Yes,No
Knox College,IL,0.5720305,0.0547561,No,No,Yes
Lewis University,IL,0.5615113,0.1062426,No,Yes,No
Loyola University Chicago,IL,0.5424096,0.0561615,No,Yes,No
MacMurray College,IL,0.5876194,0.192967,No,Yes,No
McKendree University,IL,0.7135804,0.18935,No,Yes,No
Millikin University,IL,0.6498713,0.1341172,No,Yes,No
Monmouth College,IL,0.676942,0.110376,No,Yes,No
North Central College,IL,0.6164272,0.1245695,No,Yes,No
North Park University,IL,0.6173695,0.1709503,No,Yes,No
Northeastern Illinois University,IL,0.4357112,0.0948799,No,No,No
Northern Illinois University,IL,0.5714776,0.0788717,No,No,No
Northwestern University,IL,0.584053,0.0344175,No,No,Yes
Olivet Nazarene University,IL,0.719841,0.3378629,No,Yes,No
Quincy University,IL,0.6853337,0.1638978,No,Yes,No
Robert Morris University Illinois,IL,0.345642,0.0833454,No,No,Yes
Roosevelt University,IL,0.4482306,0.0648468,No,No,Yes
Saint Xavier University,IL,0.5833292,0.1030903,No,Yes,No
Southern Illinois University At Carbondale,IL,0.5480415,0.0974987,No,No,No
Southern Illinois University Edwardsville,IL,0.6341088,0.1544419,No,No,No
Trinity Christian College,IL,0.7416036,0.3489814,No,Yes,No
Trinity International University,IL,0.749746,0.325637,No,Yes,No
University Of Chicago,IL,0.5067728,0.029689,No,No,Yes
"University Of Saint Francis of Joliet, IL",IL,0.635445,0.1150359,No,Yes,No
Western Illinois University,IL,0.6425227,0.1023469,No,No,No
"Anderson University of Anderson, IN",IN,0.7018836,0.3281415,No,Yes,No
Ball State University,IN,0.6444944,0.1755599,No,No,No
Butler University,IN,0.684854,0.1155634,No,No,Yes
DePauw University,IN,0.6613716,0.070102,No,Yes,No
Franklin College Of Indiana,IN,0.7185326,0.1966502,No,Yes,No
Goshen College,IN,0.6709687,0.2151144,No,Yes,No
Grace College And Theological Seminary,IN,0.7869131,0.4136189,No,Yes,No
Hanover College,IN,0.71711,0.1579983,No,Yes,No
Indiana State University,IN,0.6154897,0.1711458,No,No,No
Manchester University,IN,0.6624753,0.2060898,No,Yes,No
Purdue University,IN,0.6544302,0.1409414,No,No,No
Saint Mary's College,IN,0.6848041,0.1107486,No,Yes,No
Taylor University,IN,0.755066,0.315337,No,Yes,No
University Of Evansville,IN,0.6763742,0.1794443,No,Yes,No
University Of Indianapolis,IN,0.666157,0.2084241,No,Yes,No
University Of Notre Dame,IN,0.675212,0.0650941,No,Yes,No
"University Of Saint Francis of Fort Wayne, IN",IN,0.6854762,0.2317071,No,Yes,No
University Of Southern Indiana,IN,0.6317955,0.2084831,No,No,No
Valparaiso University,IN,0.6873279,0.1643466,No,Yes,No
Wabash College,IN,0.6145054,0.1237108,No,No,Yes
Baker University,KS,0.6577953,0.1989212,No,Yes,No
"Bethany College of Lindsborg, KS",KS,0.6524422,0.189576,No,Yes,No
Emporia State University,KS,0.6705615,0.2433577,No,No,No
Fort Hays State University,KS,0.6786788,0.2524741,No,No,No
Friends University,KS,0.6370423,0.2485652,No,No,Yes
Kansas State University,KS,0.701501,0.1947612,No,No,No
Kansas Wesleyan University,KS,0.6875607,0.207658,No,Yes,No
McPherson College,KS,0.5230559,0.1838605,No,Yes,No
Pittsburg State University,KS,0.6986791,0.2364469,No,No,No
Sterling College,KS,0.6978493,0.2981321,No,Yes,No
Tabor College,KS,0.7626431,0.3087349,No,Yes,No
University Of Kansas,KS,0.6223517,0.0959576,No,No,No
Wichita State University,KS,0.5902022,0.2436508,No,No,No
Bellarmine University,KY,0.6634812,0.1508202,No,Yes,No
Centre College Of Kentucky,KY,0.6870573,0.0891502,No,Yes,No
Eastern Kentucky University,KY,0.6070863,0.2412854,No,No,No
Georgetown College,KY,0.7330021,0.2004727,No,Yes,No
Kentucky Christian University,KY,0.7613772,0.36971,No,Yes,No
Kentucky State University,KY,0.3361657,0.0810266,Yes,No,No
Kentucky Wesleyan College,KY,0.6519629,0.2112255,No,Yes,No
Murray State University,KY,0.6533754,0.2401543,No,No,No
Thomas More College,KY,0.699965,0.1514798,No,Yes,No
University Of Kentucky,KY,0.6165166,0.1398065,No,No,No
University Of Louisville,KY,0.5808243,0.1640359,No,No,No
Western Kentucky University,KY,0.6276789,0.2098918,No,No,No
Centenary College Of Louisiana,LA,0.6355274,0.1349632,No,Yes,No
Dillard University,LA,0.2666444,0.0369861,Yes,Yes,No
Louisiana College,LA,0.683263,0.2960325,No,Yes,No
Louisiana State University In Shreveport,LA,0.5012802,0.2110346,No,No,No
Louisiana Tech University,LA,0.6322817,0.2342011,No,No,No
Loyola University New Orleans,LA,0.4958811,0.0497131,No,Yes,No
Mcneese State University,LA,0.5658066,0.2275076,No,No,No
Northwestern State University,LA,0.4986141,0.2209285,No,No,No
Southeastern Louisiana University,LA,0.5215861,0.1742431,No,No,No
Southern University And Agricultural & Mechanical Colg At Baton R,LA,0.2198708,0.0492505,Yes,No,No
University Of Louisiana At Lafayette,LA,0.545683,0.1576653,No,No,No
University Of New Orleans,LA,0.4470782,0.0989155,No,No,No
Xavier University Of Louisiana,LA,0.3212782,0.0471416,Yes,Yes,No
American International College,MA,0.4233038,0.0609884,No,No,Yes
Amherst College,MA,0.563764,0.0153102,No,No,Yes
Anna Maria College,MA,0.6010438,0.0678921,No,Yes,No
Assumption College,MA,0.6687077,0.0320847,No,Yes,No
Bay Path College,MA,0.5735032,0.1419644,No,No,Yes
Becker College,MA,0.5013095,0.0713307,No,No,Yes
Bentley University,MA,0.623009,0.0241153,No,No,Yes
Boston College,MA,0.5992555,0.0161317,No,Yes,No
Boston University,MA,0.5307422,0.0297701,No,No,Yes
Brandeis University,MA,0.582814,0.0314266,No,No,Yes
Bridgewater State University,MA,0.5808361,0.0571447,No,No,No
Clark University,MA,0.5129849,0.0313769,No,No,Yes
College Of The Holy Cross,MA,0.6438313,0.0245404,No,Yes,No
Curry College,MA,0.4728602,0.02898,No,No,Yes
Eastern Nazarene College,MA,0.6673857,0.1739752,No,Yes,No
Emerson College,MA,0.440583,0.0220183,No,No,Yes
Endicott College,MA,0.5872155,0.0471235,No,No,Yes
Fitchburg State University,MA,0.5579309,0.0611074,No,No,No
Gordon College,MA,0.7174374,0.2358169,No,Yes,No
Hampshire College,MA,0.3816698,0.018887,No,No,Yes
Lesley University,MA,0.4538073,0.0410353,No,No,Yes
Massachusetts College Of Liberal Arts,MA,0.5176043,0.0608695,No,No,No
Massachusetts Institute Of Technology,MA,0.5596789,0.0608726,No,No,Yes
Merrimack College,MA,0.6175788,0.0329353,No,Yes,No
Mount Holyoke College,MA,0.4958119,0.0370926,No,No,Yes
Mount Ida College,MA,0.3747373,0.0440738,No,No,Yes
Northeastern University,MA,0.542137,0.0288209,No,No,Yes
Salem State University,MA,0.5449622,0.0515188,No,No,No
Simmons College,MA,0.5816777,0.0660306,No,No,Yes
Smith College,MA,0.4981377,0.0376223,No,No,Yes
Suffolk University,MA,0.4949288,0.0318795,No,No,Yes
Tufts University,MA,0.5877376,0.0173577,No,No,Yes
Wellesley College,MA,0.5042297,0.0449076,No,No,Yes
Western New England University,MA,0.6126523,0.0433215,No,No,Yes
Westfield State University,MA,0.6050978,0.0454189,No,No,No
"Wheaton College of Norton, MA",MA,0.5423434,0.0369728,No,No,Yes
Wheelock College,MA,0.591077,0.0777064,No,No,Yes
Worcester State University,MA,0.5658184,0.0785902,No,No,No
Goucher College,MD,0.5067425,0.0348962,No,No,Yes
Johns Hopkins University,MD,0.5673066,0.0296085,No,No,Yes
Loyola University Maryland,MD,0.6502528,0.030867,No,Yes,No
McDaniel College,MD,0.6299918,0.0951047,No,No,Yes
Stevenson University,MD,0.6469253,0.1171082,No,No,Yes
Bowdoin College,ME,0.6021003,0.0198031,No,No,Yes
Maine Maritime Academy,ME,0.6683386,0.1122226,No,No,No
"Saint Joseph's College of Standish, ME",ME,0.6093101,0.0924841,No,Yes,No
Thomas College,ME,0.6371662,0.1361033,No,No,Yes
Adrian College,MI,0.6520249,0.1254181,No,Yes,No
Andrews University,MI,0.5988724,0.1718221,No,Yes,No
Aquinas College,MI,0.6558907,0.1354048,No,Yes,No
Central Michigan University,MI,0.6495945,0.1055972,No,No,No
Cornerstone University,MI,0.7769402,0.3776964,No,Yes,No
Eastern Michigan University,MI,0.542794,0.1135204,No,No,No
Ferris State University,MI,0.5990812,0.16553,No,No,No
Grand Valley State University,MI,0.6921148,0.1716205,No,No,No
Hope College,MI,0.7359944,0.1926455,No,Yes,No
Kalamazoo College,MI,0.5957845,0.0418468,No,No,Yes
Kettering University,MI,0.6764786,0.1412977,No,No,Yes
Lake Superior State University,MI,0.615386,0.1949958,No,No,No
Lawrence Technological University,MI,0.5915825,0.1129093,No,No,Yes
Michigan State University,MI,0.626847,0.0779163,No,No,No
Michigan Technological University,MI,0.6716461,0.157227,No,No,No
Northern Michigan University,MI,0.5978834,0.1406122,No,No,No
Oakland University,MI,0.6002036,0.109007,No,No,No
Olivet College,MI,0.5041801,0.1290593,No,Yes,No
Saginaw Valley State University,MI,0.6600213,0.1545672,No,No,No
Siena Heights University,MI,0.611654,0.1376755,No,Yes,No
Spring Arbor University,MI,0.7254447,0.3784373,No,Yes,No
University Of Detroit Mercy,MI,0.5227795,0.1250455,No,Yes,No
University Of Michigan - Ann Arbor,MI,0.594337,0.054162,No,No,No
University Of Michigan - Dearborn,MI,0.5953518,0.1141998,No,No,No
University Of Michigan - Flint,MI,0.6205115,0.1527452,No,No,No
Wayne State University,MI,0.4531692,0.0834218,No,No,No
Western Michigan University,MI,0.6360919,0.1040739,No,No,No
Bethany Lutheran College,MN,0.7055697,0.3126315,No,Yes,No
"Bethel University of Saint Paul, MN",MN,0.8000666,0.3397398,No,Yes,No
Carleton College,MN,0.5671828,0.036986,No,No,Yes
College Of Saint Benedict,MN,0.7472652,0.1253792,No,Yes,No
Concordia College - Moorhead,MN,0.7249203,0.1937632,No,Yes,No
Concordia University - Saint Paul,MN,0.6474313,0.1747566,No,Yes,No
Gustavus Adolphus College,MN,0.7198388,0.0985651,No,Yes,No
Hamline University,MN,0.5908613,0.0693021,No,Yes,No
Macalester College,MN,0.5331261,0.0254278,No,Yes,No
"Saint John's University of Collegeville, MN",MN,0.7089083,0.0840223,No,Yes,No
Saint Mary's University Of Minnesota,MN,0.6347151,0.1085143,No,Yes,No
Saint Olaf College,MN,0.678916,0.0809998,No,Yes,No
St. Catherine University,MN,0.6058587,0.1566997,No,Yes,No
University Of Northwestern- St Paul,MN,0.7702262,0.3783858,No,Yes,No
"University Of Saint Thomas of Saint Paul, MN",MN,0.6819773,0.1153443,No,Yes,No
Central Methodist University,MO,0.6621689,0.2225687,No,Yes,No
"Columbia College of Columbia, MO",MO,0.5330347,0.2588176,No,Yes,No
Culver-Stockton College,MO,0.6689961,0.1970834,No,Yes,No
Drury University,MO,0.6507428,0.2602398,No,No,Yes
Evangel University,MO,0.759628,0.3942828,No,Yes,No
Hannibal - Lagrange University,MO,0.7544492,0.3574635,No,Yes,No
Lindenwood University,MO,0.6324974,0.1594294,No,No,Yes
Maryville University Of Saint Louis,MO,0.7054339,0.2025878,No,No,Yes
